,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
20221,100056,IDFCFIRSTB26JUN2573PE,IDFCFIRSTB,2025-06-26,7300.0,7500,OPTSTK,NFO,5.000000
20222,100003,IDFCFIRSTB26JUN2565CE,IDFCFIRSTB,2025-06-26,6500.0,7500,OPTSTK,NFO,5.000000
20223,100015,HEROMOTOCO28AUG254400PE,HEROMOTOCO,2025-08-28,440000.0,150,OPTSTK,NFO,5.000000
20224,100006,IDFCFIRSTB26JUN2567PE,IDFCFIRSTB,2025-06-26,6700.0,7500,OPTSTK,NFO,5.000000
20225,100002,IDFCFIRSTB26JUN2563PE,IDFCFIRSTB,2025-06-26,6300.0,7500,OPTSTK,NFO,5.000000
20226,100057,IDFCFIRSTB26JUN2575CE,IDFCFIRSTB,2025-06-26,7500.0,7500,OPTSTK,NFO,5.000000
20227,100060,IDFCFIRSTB26JUN2577PE,IDFCFIRSTB,2025-06-26,7700.0,7500,OPTSTK,NFO,5.000000
20228,100005,IDFCFIRSTB26JUN2567CE,IDFCFIRSTB,2025-06-26,6700.0,7500,OPTSTK,NFO,5.000000
20229,100013,HEROMOTOCO28AUG254300PE,HEROMOTOCO,2025-08-28,430000.0,150,OPTSTK,NFO,5.000000
20230,100014,HEROMOTOCO28AUG254400CE,HEROMOTOCO,2025-08-28,440000.0,150,OPTSTK,NFO,5.000000
20231,100059,IDFCFIRSTB26JUN2577CE,IDFCFIRSTB,2025-06-26,7700.0,7500,OPTSTK,NFO,5.000000
20232,100028,HEROMOTOCO28AUG255000CE,HEROMOTOCO,2025-08-28,500000.0,150,OPTSTK,NFO,5.000000
20233,100020,HEROMOTOCO28AUG254600CE,HEROMOTOCO,2025-08-28,460000.0,150,OPTSTK,NFO,5.000000
20234,100120,ICICIBANK26JUN251240CE,ICICIBANK,2025-06-26,124000.0,700,OPTSTK,NFO,5.000000
20235,100155,ICICIBANK26JUN251440CE,ICICIBANK,2025-06-26,144000.0,700,OPTSTK,NFO,5.000000
20236,100186,IDFCFIRSTB31JUL2558CE,IDFCFIRSTB,2025-07-31,5800.0,9275,OPTSTK,NFO,5.000000
20237,100124,ICICIBANK26JUN251260CE,ICICIBANK,2025-06-26,126000.0,700,OPTSTK,NFO,5.000000
20238,100203,IDFCFIRSTB31JUL2568PE,IDFCFIRSTB,2025-07-31,6800.0,9275,OPTSTK,NFO,5.000000
20241,100293,IEX26JUN25177.5PE,IEX,2025-06-26,17750.0,3750,OPTSTK,NFO,5.000000
20242,100295,IEX26JUN25182.5PE,IEX,2025-06-26,18250.0,3750,OPTSTK,NFO,5.000000
20245,100464,ICICIGI26JUN251600PE,ICICIGI,2025-06-26,160000.0,250,OPTSTK,NFO,5.000000
20246,100472,ICICIGI26JUN251760PE,ICICIGI,2025-06-26,176000.0,250,OPTSTK,NFO,5.000000
20247,100473,ICICIGI26JUN251800CE,ICICIGI,2025-06-26,180000.0,250,OPTSTK,NFO,5.000000
20248,100499,ICICIGI26JUN252160CE,ICICIGI,2025-06-26,216000.0,250,OPTSTK,NFO,5.000000
20249,100534,IEX26JUN25207.5CE,IEX,2025-06-26,20750.0,3750,OPTSTK,NFO,5.000000
20250,100529,HINDALCO31JUL25590CE,HINDALCO,2025-07-31,59000.0,1400,OPTSTK,NFO,5.000000
20251,100544,IEX26JUN25227.5CE,IEX,2025-06-26,22750.0,3750,OPTSTK,NFO,5.000000
20252,100546,IEX26JUN25232.5CE,IEX,2025-06-26,23250.0,3750,OPTSTK,NFO,5.000000
20253,100547,IEX26JUN25232.5PE,IEX,2025-06-26,23250.0,3750,OPTSTK,NFO,5.000000
